id,package,version,asset,count_2022_12_05,count_2022_12_06,count_2022_12_07,count_2022_12_08,count_2022_12_09,count_2022_12_10,count_2022_12_11,count_2022_12_12,count_2022_12_13,count_2022_12_14,count_2022_12_15,count_2022_12_16,count_2022_12_17,count_2022_12_18,count_2022_12_19,count_2022_12_20,count_2022_12_21,count_2022_12_22,count_2022_12_23
occ_20221205-131612_9ee57a2_occ-install.tar.gz,occ,20221205-131612 9ee57a2,occ-install.tar.gz,0.0,18,19,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26
ngsolve_20221205-174020_2a19414_ngsolve-install.tar.gz,ngsolve,20221205-174020 2a19414,ngsolve-install.tar.gz,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
mpi4py_20221205-104235_9ee57a2_mpi4py-install.tar.gz,mpi4py,20221205-104235 9ee57a2,mpi4py-install.tar.gz,0.0,65,66,84,84,88,98,100,101,101,103,104,109,122,122,122,122,122,122
h5py_20221205-111557_9ee57a2_h5py-install.tar.gz,h5py,20221205-111557 9ee57a2,h5py-install.tar.gz,0.0,60,61,65,65,68,79,81,81,81,81,82,86,97,97,97,97,97,97
gmsh_20221205-141819_9ee57a2_gmsh-install.tar.gz,gmsh,20221205-141819 9ee57a2,gmsh-install.tar.gz,0.0,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
firedrake_20221205-131931_9ee57a2_real_firedrake-install.tar.gz,firedrake,20221205-131931 9ee57a2 real,firedrake-install.tar.gz,0.0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
firedrake_20221205-131928_9ee57a2_complex_firedrake-install.tar.gz,firedrake,20221205-131928 9ee57a2 complex,firedrake-install.tar.gz,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
fenicsx_20221205-131908_9ee57a2_complex_fenicsx-install.tar.gz,fenicsx,20221205-131908 9ee57a2 complex,fenicsx-install.tar.gz,0.0,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8
fenicsx_20221205-131902_9ee57a2_real_fenicsx-install.tar.gz,fenicsx,20221205-131902 9ee57a2 real,fenicsx-install.tar.gz,0.0,5,5,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12
fenics_20221205-150442_9ee57a2_fenics-install.tar.gz,fenics,20221205-150442 9ee57a2,fenics-install.tar.gz,0.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ngsolve_20221206-055415_6761593_ngsolve-install.tar.gz,ngsolve,20221206-055415 6761593,ngsolve-install.tar.gz,0.0,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
occ_20221206-164913_6761593_occ-install.tar.gz,occ,20221206-164913 6761593,occ-install.tar.gz,0.0,0,2,2,2,4,8,10,10,10,10,11,13,18,18,18,18,18,18
mock_20221210-004152_3ce8582_mock-install.tar.gz,mock,20221210-004152 3ce8582,mock-install.tar.gz,0.0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ngsolve_20221210-004149_3ce8582_ngsolve-install.tar.gz,ngsolve,20221210-004149 3ce8582,ngsolve-install.tar.gz,0.0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
gmsh_20221210-004225_3ce8582_gmsh-install.tar.gz,gmsh,20221210-004225 3ce8582,gmsh-install.tar.gz,0.0,0,0,0,0,0,2,4,4,4,4,5,5,5,5,5,5,5,5
firedrake_20221210-004204_3ce8582_real_firedrake-install.tar.gz,firedrake,20221210-004204 3ce8582 real,firedrake-install.tar.gz,0.0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
firedrake_20221210-004145_3ce8582_complex_firedrake-install.tar.gz,firedrake,20221210-004145 3ce8582 complex,firedrake-install.tar.gz,0.0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
fenicsx_20221210-004332_3ce8582_real_fenicsx-install.tar.gz,fenicsx,20221210-004332 3ce8582 real,fenicsx-install.tar.gz,0.0,0,0,0,0,0,2,3,3,3,3,4,4,4,4,4,4,4,4
fenicsx_20221210-004159_3ce8582_complex_fenicsx-install.tar.gz,fenicsx,20221210-004159 3ce8582 complex,fenicsx-install.tar.gz,0.0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
mock_20221217-004127_b2373db_mock-install.tar.gz,mock,20221217-004127 b2373db,mock-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
vtk_20221217-071418_63bddb5_vtk-install.tar.gz,vtk,20221217-071418 63bddb5,vtk-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,18,18,18,18
slepc4py_20221217-092025_63bddb5_real_slepc4py-install.tar.gz,slepc4py,20221217-092025 63bddb5 real,slepc4py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,13,13,13
slepc4py_20221217-091950_63bddb5_complex_slepc4py-install.tar.gz,slepc4py,20221217-091950 63bddb5 complex,slepc4py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
pybind11_20221217-074552_63bddb5_pybind11-install.tar.gz,pybind11,20221217-074552 63bddb5,pybind11-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,20,20,20,20
petsc4py_20221217-081353_63bddb5_real_petsc4py-install.tar.gz,petsc4py,20221217-081353 63bddb5 real,petsc4py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,18,18,18,18
petsc4py_20221217-081308_63bddb5_complex_petsc4py-install.tar.gz,petsc4py,20221217-081308 63bddb5 complex,petsc4py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11
occ_20221217-071428_63bddb5_occ-install.tar.gz,occ,20221217-071428 63bddb5,occ-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,12,12
ngsolve_20221217-094222_63bddb5_ngsolve-install.tar.gz,ngsolve,20221217-094222 63bddb5,ngsolve-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
mpi4py_20221217-071436_63bddb5_mpi4py-install.tar.gz,mpi4py,20221217-071436 63bddb5,mpi4py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,37,37,37,39,39
mock_20221217-094224_63bddb5_mock-install.tar.gz,mock,20221217-094224 63bddb5,mock-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
